# Plantilla TAB-separada para run_pipeline_from_template.sh
# Columnas:
# ANALYSIS_NAME	OUTDIR_BASE	Q_TX	Q_PR	Q_ME	Q_CL	PANEL_CHOICE	CLINICAL_INCLUDE	CLINICAL_EXCLUDE	MODEL_SOURCE	DIAG_TARGET
#
# Diseño del barrido:
# - Q_TX = Q_ME en: 0.80, 0.85, 0.90, 0.95, 0.97 y 0.99.
# - Q_CL y Q_PR recorren 0.20-0.70 en pasos de 0.05 y en sentidos opuestos.
# - El orden alterna los extremos hasta llegar al punto balanceado Q_CL=Q_PR=0.45.
# - Total: 66 escenarios.
#
# Importante:
# - No uses comillas.
# - No metas TABs dentro de nombres de variables.
# - MODEL_SOURCE=NEW para corrida fresca.
# - DIAG_TARGET=BOTH genera diagnostico_bayes_features y diagnostico_panel_final.
ANALYSIS_NAME	OUTDIR_BASE	Q_TX	Q_PR	Q_ME	Q_CL	PANEL_CHOICE	CLINICAL_INCLUDE	CLINICAL_EXCLUDE	MODEL_SOURCE	DIAG_TARGET
P1_TODAS_qtx95_qpr30_qme95_qcl60	./escenarios	0.95	0.30	0.95	0.60	FINAL	Edad|GGT|Glu|Col total|LDL|HDL|TG|PCR|Insulina|HOMA-IR|QUICKI|TG-INDEX|FLI|TG/HDL|Peso|Altura|IMC|Ratio cintura_0M|Ratio-cc|%BF-DEXA|CUN-BAE|VAT|VAT (%)|Masa_grasa_0M|%VAT_grasa_Total_0M|kg Ginoide|% Ginoide|% Ginoide_grasa_Total|kg Androide|% Androide|% Androide_grasa_Total|Magra (%)|Magra (kg)|Ratio and/gin|FFM- 0M (masa magra total + masa ósea total)|Sis|Dias	Altura	NEW	BOTH
P1_TODAS_qtx95_qpr55_qme95_qcl35	./escenarios	0.95	0.55	0.95	0.35	FINAL	Edad|GGT|Glu|Col total|LDL|HDL|TG|PCR|Insulina|HOMA-IR|QUICKI|TG-INDEX|FLI|TG/HDL|Peso|Altura|IMC|Ratio cintura_0M|Ratio-cc|%BF-DEXA|CUN-BAE|VAT|VAT (%)|Masa_grasa_0M|%VAT_grasa_Total_0M|kg Ginoide|% Ginoide|% Ginoide_grasa_Total|kg Androide|% Androide|% Androide_grasa_Total|Magra (%)|Magra (kg)|Ratio and/gin|FFM- 0M (masa magra total + masa ósea total)|Sis|Dias	Altura	NEW	BOTH
P1_TODAS_qtx95_qpr35_qme95_qcl55	./escenarios	0.95	0.35	0.95	0.55	FINAL	Edad|GGT|Glu|Col total|LDL|HDL|TG|PCR|Insulina|HOMA-IR|QUICKI|TG-INDEX|FLI|TG/HDL|Peso|Altura|IMC|Ratio cintura_0M|Ratio-cc|%BF-DEXA|CUN-BAE|VAT|VAT (%)|Masa_grasa_0M|%VAT_grasa_Total_0M|kg Ginoide|% Ginoide|% Ginoide_grasa_Total|kg Androide|% Androide|% Androide_grasa_Total|Magra (%)|Magra (kg)|Ratio and/gin|FFM- 0M (masa magra total + masa ósea total)|Sis|Dias	Altura	NEW	BOTH
P1_TODAS_qtx95_qpr50_qme95_qcl40	./escenarios	0.95	0.50	0.95	0.40	FINAL	Edad|GGT|Glu|Col total|LDL|HDL|TG|PCR|Insulina|HOMA-IR|QUICKI|TG-INDEX|FLI|TG/HDL|Peso|Altura|IMC|Ratio cintura_0M|Ratio-cc|%BF-DEXA|CUN-BAE|VAT|VAT (%)|Masa_grasa_0M|%VAT_grasa_Total_0M|kg Ginoide|% Ginoide|% Ginoide_grasa_Total|kg Androide|% Androide|% Androide_grasa_Total|Magra (%)|Magra (kg)|Ratio and/gin|FFM- 0M (masa magra total + masa ósea total)|Sis|Dias	Altura	NEW	BOTH
P1_TODAS_qtx95_qpr40_qme95_qcl50	./escenarios	0.95	0.40	0.95	0.50	FINAL	Edad|GGT|Glu|Col total|LDL|HDL|TG|PCR|Insulina|HOMA-IR|QUICKI|TG-INDEX|FLI|TG/HDL|Peso|Altura|IMC|Ratio cintura_0M|Ratio-cc|%BF-DEXA|CUN-BAE|VAT|VAT (%)|Masa_grasa_0M|%VAT_grasa_Total_0M|kg Ginoide|% Ginoide|% Ginoide_grasa_Total|kg Androide|% Androide|% Androide_grasa_Total|Magra (%)|Magra (kg)|Ratio and/gin|FFM- 0M (masa magra total + masa ósea total)|Sis|Dias	Altura	NEW	BOTH
P1_TODAS_qtx95_qpr45_qme95_qcl45	./escenarios	0.95	0.45	0.95	0.45	FINAL	Edad|GGT|Glu|Col total|LDL|HDL|TG|PCR|Insulina|HOMA-IR|QUICKI|TG-INDEX|FLI|TG/HDL|Peso|Altura|IMC|Ratio cintura_0M|Ratio-cc|%BF-DEXA|CUN-BAE|VAT|VAT (%)|Masa_grasa_0M|%VAT_grasa_Total_0M|kg Ginoide|% Ginoide|% Ginoide_grasa_Total|kg Androide|% Androide|% Androide_grasa_Total|Magra (%)|Magra (kg)|Ratio and/gin|FFM- 0M (masa magra total + masa ósea total)|Sis|Dias	Altura	NEW	BOTH
P1_TODAS_qtx97_qpr70_qme97_qcl20	./escenarios	0.97	0.70	0.97	0.20	FINAL	Edad|GGT|Glu|Col total|LDL|HDL|TG|PCR|Insulina|HOMA-IR|QUICKI|TG-INDEX|FLI|TG/HDL|Peso|Altura|IMC|Ratio cintura_0M|Ratio-cc|%BF-DEXA|CUN-BAE|VAT|VAT (%)|Masa_grasa_0M|%VAT_grasa_Total_0M|kg Ginoide|% Ginoide|% Ginoide_grasa_Total|kg Androide|% Androide|% Androide_grasa_Total|Magra (%)|Magra (kg)|Ratio and/gin|FFM- 0M (masa magra total + masa ósea total)|Sis|Dias	Altura	NEW	BOTH
P1_TODAS_qtx97_qpr20_qme97_qcl70	./escenarios	0.97	0.20	0.97	0.70	FINAL	Edad|GGT|Glu|Col total|LDL|HDL|TG|PCR|Insulina|HOMA-IR|QUICKI|TG-INDEX|FLI|TG/HDL|Peso|Altura|IMC|Ratio cintura_0M|Ratio-cc|%BF-DEXA|CUN-BAE|VAT|VAT (%)|Masa_grasa_0M|%VAT_grasa_Total_0M|kg Ginoide|% Ginoide|% Ginoide_grasa_Total|kg Androide|% Androide|% Androide_grasa_Total|Magra (%)|Magra (kg)|Ratio and/gin|FFM- 0M (masa magra total + masa ósea total)|Sis|Dias	Altura	NEW	BOTH
P1_TODAS_qtx97_qpr65_qme97_qcl25	./escenarios	0.97	0.65	0.97	0.25	FINAL	Edad|GGT|Glu|Col total|LDL|HDL|TG|PCR|Insulina|HOMA-IR|QUICKI|TG-INDEX|FLI|TG/HDL|Peso|Altura|IMC|Ratio cintura_0M|Ratio-cc|%BF-DEXA|CUN-BAE|VAT|VAT (%)|Masa_grasa_0M|%VAT_grasa_Total_0M|kg Ginoide|% Ginoide|% Ginoide_grasa_Total|kg Androide|% Androide|% Androide_grasa_Total|Magra (%)|Magra (kg)|Ratio and/gin|FFM- 0M (masa magra total + masa ósea total)|Sis|Dias	Altura	NEW	BOTH
P1_TODAS_qtx97_qpr25_qme97_qcl65	./escenarios	0.97	0.25	0.97	0.65	FINAL	Edad|GGT|Glu|Col total|LDL|HDL|TG|PCR|Insulina|HOMA-IR|QUICKI|TG-INDEX|FLI|TG/HDL|Peso|Altura|IMC|Ratio cintura_0M|Ratio-cc|%BF-DEXA|CUN-BAE|VAT|VAT (%)|Masa_grasa_0M|%VAT_grasa_Total_0M|kg Ginoide|% Ginoide|% Ginoide_grasa_Total|kg Androide|% Androide|% Androide_grasa_Total|Magra (%)|Magra (kg)|Ratio and/gin|FFM- 0M (masa magra total + masa ósea total)|Sis|Dias	Altura	NEW	BOTH
P1_TODAS_qtx97_qpr60_qme97_qcl30	./escenarios	0.97	0.60	0.97	0.30	FINAL	Edad|GGT|Glu|Col total|LDL|HDL|TG|PCR|Insulina|HOMA-IR|QUICKI|TG-INDEX|FLI|TG/HDL|Peso|Altura|IMC|Ratio cintura_0M|Ratio-cc|%BF-DEXA|CUN-BAE|VAT|VAT (%)|Masa_grasa_0M|%VAT_grasa_Total_0M|kg Ginoide|% Ginoide|% Ginoide_grasa_Total|kg Androide|% Androide|% Androide_grasa_Total|Magra (%)|Magra (kg)|Ratio and/gin|FFM- 0M (masa magra total + masa ósea total)|Sis|Dias	Altura	NEW	BOTH
P1_TODAS_qtx97_qpr30_qme97_qcl60	./escenarios	0.97	0.30	0.97	0.60	FINAL	Edad|GGT|Glu|Col total|LDL|HDL|TG|PCR|Insulina|HOMA-IR|QUICKI|TG-INDEX|FLI|TG/HDL|Peso|Altura|IMC|Ratio cintura_0M|Ratio-cc|%BF-DEXA|CUN-BAE|VAT|VAT (%)|Masa_grasa_0M|%VAT_grasa_Total_0M|kg Ginoide|% Ginoide|% Ginoide_grasa_Total|kg Androide|% Androide|% Androide_grasa_Total|Magra (%)|Magra (kg)|Ratio and/gin|FFM- 0M (masa magra total + masa ósea total)|Sis|Dias	Altura	NEW	BOTH
P1_TODAS_qtx97_qpr55_qme97_qcl35	./escenarios	0.97	0.55	0.97	0.35	FINAL	Edad|GGT|Glu|Col total|LDL|HDL|TG|PCR|Insulina|HOMA-IR|QUICKI|TG-INDEX|FLI|TG/HDL|Peso|Altura|IMC|Ratio cintura_0M|Ratio-cc|%BF-DEXA|CUN-BAE|VAT|VAT (%)|Masa_grasa_0M|%VAT_grasa_Total_0M|kg Ginoide|% Ginoide|% Ginoide_grasa_Total|kg Androide|% Androide|% Androide_grasa_Total|Magra (%)|Magra (kg)|Ratio and/gin|FFM- 0M (masa magra total + masa ósea total)|Sis|Dias	Altura	NEW	BOTH
P1_TODAS_qtx97_qpr35_qme97_qcl55	./escenarios	0.97	0.35	0.97	0.55	FINAL	Edad|GGT|Glu|Col total|LDL|HDL|TG|PCR|Insulina|HOMA-IR|QUICKI|TG-INDEX|FLI|TG/HDL|Peso|Altura|IMC|Ratio cintura_0M|Ratio-cc|%BF-DEXA|CUN-BAE|VAT|VAT (%)|Masa_grasa_0M|%VAT_grasa_Total_0M|kg Ginoide|% Ginoide|% Ginoide_grasa_Total|kg Androide|% Androide|% Androide_grasa_Total|Magra (%)|Magra (kg)|Ratio and/gin|FFM- 0M (masa magra total + masa ósea total)|Sis|Dias	Altura	NEW	BOTH
P1_TODAS_qtx97_qpr50_qme97_qcl40	./escenarios	0.97	0.50	0.97	0.40	FINAL	Edad|GGT|Glu|Col total|LDL|HDL|TG|PCR|Insulina|HOMA-IR|QUICKI|TG-INDEX|FLI|TG/HDL|Peso|Altura|IMC|Ratio cintura_0M|Ratio-cc|%BF-DEXA|CUN-BAE|VAT|VAT (%)|Masa_grasa_0M|%VAT_grasa_Total_0M|kg Ginoide|% Ginoide|% Ginoide_grasa_Total|kg Androide|% Androide|% Androide_grasa_Total|Magra (%)|Magra (kg)|Ratio and/gin|FFM- 0M (masa magra total + masa ósea total)|Sis|Dias	Altura	NEW	BOTH
P1_TODAS_qtx97_qpr40_qme97_qcl50	./escenarios	0.97	0.40	0.97	0.50	FINAL	Edad|GGT|Glu|Col total|LDL|HDL|TG|PCR|Insulina|HOMA-IR|QUICKI|TG-INDEX|FLI|TG/HDL|Peso|Altura|IMC|Ratio cintura_0M|Ratio-cc|%BF-DEXA|CUN-BAE|VAT|VAT (%)|Masa_grasa_0M|%VAT_grasa_Total_0M|kg Ginoide|% Ginoide|% Ginoide_grasa_Total|kg Androide|% Androide|% Androide_grasa_Total|Magra (%)|Magra (kg)|Ratio and/gin|FFM- 0M (masa magra total + masa ósea total)|Sis|Dias	Altura	NEW	BOTH
P1_TODAS_qtx97_qpr45_qme97_qcl45	./escenarios	0.97	0.45	0.97	0.45	FINAL	Edad|GGT|Glu|Col total|LDL|HDL|TG|PCR|Insulina|HOMA-IR|QUICKI|TG-INDEX|FLI|TG/HDL|Peso|Altura|IMC|Ratio cintura_0M|Ratio-cc|%BF-DEXA|CUN-BAE|VAT|VAT (%)|Masa_grasa_0M|%VAT_grasa_Total_0M|kg Ginoide|% Ginoide|% Ginoide_grasa_Total|kg Androide|% Androide|% Androide_grasa_Total|Magra (%)|Magra (kg)|Ratio and/gin|FFM- 0M (masa magra total + masa ósea total)|Sis|Dias	Altura	NEW	BOTH
P1_TODAS_qtx99_qpr70_qme99_qcl20	./escenarios	0.99	0.70	0.99	0.20	FINAL	Edad|GGT|Glu|Col total|LDL|HDL|TG|PCR|Insulina|HOMA-IR|QUICKI|TG-INDEX|FLI|TG/HDL|Peso|Altura|IMC|Ratio cintura_0M|Ratio-cc|%BF-DEXA|CUN-BAE|VAT|VAT (%)|Masa_grasa_0M|%VAT_grasa_Total_0M|kg Ginoide|% Ginoide|% Ginoide_grasa_Total|kg Androide|% Androide|% Androide_grasa_Total|Magra (%)|Magra (kg)|Ratio and/gin|FFM- 0M (masa magra total + masa ósea total)|Sis|Dias	Altura	NEW	BOTH
P1_TODAS_qtx99_qpr20_qme99_qcl70	./escenarios	0.99	0.20	0.99	0.70	FINAL	Edad|GGT|Glu|Col total|LDL|HDL|TG|PCR|Insulina|HOMA-IR|QUICKI|TG-INDEX|FLI|TG/HDL|Peso|Altura|IMC|Ratio cintura_0M|Ratio-cc|%BF-DEXA|CUN-BAE|VAT|VAT (%)|Masa_grasa_0M|%VAT_grasa_Total_0M|kg Ginoide|% Ginoide|% Ginoide_grasa_Total|kg Androide|% Androide|% Androide_grasa_Total|Magra (%)|Magra (kg)|Ratio and/gin|FFM- 0M (masa magra total + masa ósea total)|Sis|Dias	Altura	NEW	BOTH
P1_TODAS_qtx99_qpr65_qme99_qcl25	./escenarios	0.99	0.65	0.99	0.25	FINAL	Edad|GGT|Glu|Col total|LDL|HDL|TG|PCR|Insulina|HOMA-IR|QUICKI|TG-INDEX|FLI|TG/HDL|Peso|Altura|IMC|Ratio cintura_0M|Ratio-cc|%BF-DEXA|CUN-BAE|VAT|VAT (%)|Masa_grasa_0M|%VAT_grasa_Total_0M|kg Ginoide|% Ginoide|% Ginoide_grasa_Total|kg Androide|% Androide|% Androide_grasa_Total|Magra (%)|Magra (kg)|Ratio and/gin|FFM- 0M (masa magra total + masa ósea total)|Sis|Dias	Altura	NEW	BOTH
P1_TODAS_qtx99_qpr25_qme99_qcl65	./escenarios	0.99	0.25	0.99	0.65	FINAL	Edad|GGT|Glu|Col total|LDL|HDL|TG|PCR|Insulina|HOMA-IR|QUICKI|TG-INDEX|FLI|TG/HDL|Peso|Altura|IMC|Ratio cintura_0M|Ratio-cc|%BF-DEXA|CUN-BAE|VAT|VAT (%)|Masa_grasa_0M|%VAT_grasa_Total_0M|kg Ginoide|% Ginoide|% Ginoide_grasa_Total|kg Androide|% Androide|% Androide_grasa_Total|Magra (%)|Magra (kg)|Ratio and/gin|FFM- 0M (masa magra total + masa ósea total)|Sis|Dias	Altura	NEW	BOTH
P1_TODAS_qtx99_qpr60_qme99_qcl30	./escenarios	0.99	0.60	0.99	0.30	FINAL	Edad|GGT|Glu|Col total|LDL|HDL|TG|PCR|Insulina|HOMA-IR|QUICKI|TG-INDEX|FLI|TG/HDL|Peso|Altura|IMC|Ratio cintura_0M|Ratio-cc|%BF-DEXA|CUN-BAE|VAT|VAT (%)|Masa_grasa_0M|%VAT_grasa_Total_0M|kg Ginoide|% Ginoide|% Ginoide_grasa_Total|kg Androide|% Androide|% Androide_grasa_Total|Magra (%)|Magra (kg)|Ratio and/gin|FFM- 0M (masa magra total + masa ósea total)|Sis|Dias	Altura	NEW	BOTH
P1_TODAS_qtx99_qpr30_qme99_qcl60	./escenarios	0.99	0.30	0.99	0.60	FINAL	Edad|GGT|Glu|Col total|LDL|HDL|TG|PCR|Insulina|HOMA-IR|QUICKI|TG-INDEX|FLI|TG/HDL|Peso|Altura|IMC|Ratio cintura_0M|Ratio-cc|%BF-DEXA|CUN-BAE|VAT|VAT (%)|Masa_grasa_0M|%VAT_grasa_Total_0M|kg Ginoide|% Ginoide|% Ginoide_grasa_Total|kg Androide|% Androide|% Androide_grasa_Total|Magra (%)|Magra (kg)|Ratio and/gin|FFM- 0M (masa magra total + masa ósea total)|Sis|Dias	Altura	NEW	BOTH
P1_TODAS_qtx99_qpr55_qme99_qcl35	./escenarios	0.99	0.55	0.99	0.35	FINAL	Edad|GGT|Glu|Col total|LDL|HDL|TG|PCR|Insulina|HOMA-IR|QUICKI|TG-INDEX|FLI|TG/HDL|Peso|Altura|IMC|Ratio cintura_0M|Ratio-cc|%BF-DEXA|CUN-BAE|VAT|VAT (%)|Masa_grasa_0M|%VAT_grasa_Total_0M|kg Ginoide|% Ginoide|% Ginoide_grasa_Total|kg Androide|% Androide|% Androide_grasa_Total|Magra (%)|Magra (kg)|Ratio and/gin|FFM- 0M (masa magra total + masa ósea total)|Sis|Dias	Altura	NEW	BOTH
P1_TODAS_qtx99_qpr35_qme99_qcl55	./escenarios	0.99	0.35	0.99	0.55	FINAL	Edad|GGT|Glu|Col total|LDL|HDL|TG|PCR|Insulina|HOMA-IR|QUICKI|TG-INDEX|FLI|TG/HDL|Peso|Altura|IMC|Ratio cintura_0M|Ratio-cc|%BF-DEXA|CUN-BAE|VAT|VAT (%)|Masa_grasa_0M|%VAT_grasa_Total_0M|kg Ginoide|% Ginoide|% Ginoide_grasa_Total|kg Androide|% Androide|% Androide_grasa_Total|Magra (%)|Magra (kg)|Ratio and/gin|FFM- 0M (masa magra total + masa ósea total)|Sis|Dias	Altura	NEW	BOTH
P1_TODAS_qtx99_qpr50_qme99_qcl40	./escenarios	0.99	0.50	0.99	0.40	FINAL	Edad|GGT|Glu|Col total|LDL|HDL|TG|PCR|Insulina|HOMA-IR|QUICKI|TG-INDEX|FLI|TG/HDL|Peso|Altura|IMC|Ratio cintura_0M|Ratio-cc|%BF-DEXA|CUN-BAE|VAT|VAT (%)|Masa_grasa_0M|%VAT_grasa_Total_0M|kg Ginoide|% Ginoide|% Ginoide_grasa_Total|kg Androide|% Androide|% Androide_grasa_Total|Magra (%)|Magra (kg)|Ratio and/gin|FFM- 0M (masa magra total + masa ósea total)|Sis|Dias	Altura	NEW	BOTH
P1_TODAS_qtx99_qpr40_qme99_qcl50	./escenarios	0.99	0.40	0.99	0.50	FINAL	Edad|GGT|Glu|Col total|LDL|HDL|TG|PCR|Insulina|HOMA-IR|QUICKI|TG-INDEX|FLI|TG/HDL|Peso|Altura|IMC|Ratio cintura_0M|Ratio-cc|%BF-DEXA|CUN-BAE|VAT|VAT (%)|Masa_grasa_0M|%VAT_grasa_Total_0M|kg Ginoide|% Ginoide|% Ginoide_grasa_Total|kg Androide|% Androide|% Androide_grasa_Total|Magra (%)|Magra (kg)|Ratio and/gin|FFM- 0M (masa magra total + masa ósea total)|Sis|Dias	Altura	NEW	BOTH
P1_TODAS_qtx99_qpr45_qme99_qcl45	./escenarios	0.99	0.45	0.99	0.45	FINAL	Edad|GGT|Glu|Col total|LDL|HDL|TG|PCR|Insulina|HOMA-IR|QUICKI|TG-INDEX|FLI|TG/HDL|Peso|Altura|IMC|Ratio cintura_0M|Ratio-cc|%BF-DEXA|CUN-BAE|VAT|VAT (%)|Masa_grasa_0M|%VAT_grasa_Total_0M|kg Ginoide|% Ginoide|% Ginoide_grasa_Total|kg Androide|% Androide|% Androide_grasa_Total|Magra (%)|Magra (kg)|Ratio and/gin|FFM- 0M (masa magra total + masa ósea total)|Sis|Dias	Altura	NEW	BOTH
